"TIME","GEO","AGE","SEX","UNIT","Value","Flag and Footnotes"
"1999","Finland","Total","Total","Number","5,159,646",""
"1999","Sweden","Total","Total","Number","8,854,322",""
"1999","United Kingdom","Total","Total","Number","58,579,685",""
"1999","Iceland","Total","Total","Number","275,712",""
"1999","Liechtenstein","Total","Total","Number","32,015",""
"1999","Norway","Total","Total","Number","4,445,329",""
"1999","Switzerland","Total","Total","Number","7,123,537",""
"2000","Belgium","Total","Total","Number","10,239,085",""
"2000","Bulgaria","Total","Total","Number","8,190,876",""
"2000","Czechia","Total","Total","Number","10,278,098",""
"2000","Denmark","Total","Total","Number","5,330,020",""
"2000","Germany (until 1990 former territory of the FRG)","Total","Total","Number","82,163,475",""
"2000","Estonia","Total","Total","Number","1,401,250",""
"2000","Ireland","Total","Total","Number","3,777,565",""
"2000","Greece","Total","Total","Number","10,775,627",""
"2000","Spain","Total","Total","Number","40,470,182",""
"2000","France","Total","Total","Number","60,545,022",""
"2000","Croatia","Total","Total","Number","4,497,735","e"
"2000","Italy","Total","Total","Number","56,923,524",""
"2000","Cyprus","Total","Total","Number","690,497",""
"2000","Latvia","Total","Total","Number","2,381,715",""
"2000","Lithuania","Total","Total","Number","3,512,074",""
"2000","Luxembourg","Total","Total","Number","433,600",""
"2000","Hungary","Total","Total","Number","10,221,644",""
"2000","Malta","Total","Total","Number","388,759",""
"2000","Netherlands","Total","Total","Number","15,863,950",""
"2000","Austria","Total","Total","Number","8,002,186",""
"2000","Poland","Total","Total","Number","38,263,303","b"
"2000","Portugal","Total","Total","Number","10,249,022",""
"2000","Romania","Total","Total","Number","22,455,485",""
"2000","Slovenia","Total","Total","Number","1,987,755",""
"2000","Slovakia","Total","Total","Number","5,398,657",""
"2000","Finland","Total","Total","Number","5,171,302",""
"2000","Sweden","Total","Total","Number","8,861,426",""
"2000","United Kingdom","Total","Total","Number","58,785,246",""
"2000","Iceland","Total","Total","Number","279,049",""
"2000","Liechtenstein","Total","Total","Number","32,426",""
"2000","Norway","Total","Total","Number","4,478,497",""
"2000","Switzerland","Total","Total","Number","7,164,444",""
"2001","Belgium","Total","Total","Number","10,263,414",""
"2001","Bulgaria","Total","Total","Number","8,149,468",""
"2001","Czechia","Total","Total","Number","10,232,027",""
"2001","Denmark","Total","Total","Number","5,349,212",""
"2001","Germany (until 1990 former territory of the FRG)","Total","Total","Number","82,259,540",""
"2001","Estonia","Total","Total","Number","1,392,720",""
"2001","Ireland","Total","Total","Number","3,832,783",""
"2001","Greece","Total","Total","Number","10,835,989",""
"2001","Spain","Total","Total","Number","40,665,545",""
"2001","France","Total","Total","Number","60,979,315",""
"2001","Croatia","Total","Total","Number","4,295,406","b"
"2001","Italy","Total","Total","Number","56,960,692",""
"2001","Cyprus","Total","Total","Number","697,549",""
"2001","Latvia","Total","Total","Number","2,353,384",""
"2001","Lithuania","Total","Total","Number","3,486,998",""
"2001","Luxembourg","Total","Total","Number","439,000",""
"2001","Hungary","Total","Total","Number","10,200,298",""
"2001","Malta","Total","Total","Number","391,415",""
"2001","Netherlands","Total","Total","Number","15,987,075",""
"2001","Austria","Total","Total","Number","8,020,946",""
"2001","Poland","Total","Total","Number","38,253,955",""
"2001","Portugal","Total","Total","Number","10,330,774",""
"2001","Romania","Total","Total","Number","22,430,457",""
"2001","Slovenia","Total","Total","Number","1,990,094",""
"2001","Slovakia","Total","Total","Number","5,378,783",""
"2001","Finland","Total","Total","Number","5,181,115",""
"2001","Sweden","Total","Total","Number","8,882,792",""
"2001","United Kingdom","Total","Total","Number","58,999,781",""
"2001","Iceland","Total","Total","Number","283,361",""
"2001","Liechtenstein","Total","Total","Number","32,863",""
"2001","Norway","Total","Total","Number","4,503,436",""
"2001","Switzerland","Total","Total","Number","7,204,055",""
"2002","Belgium","Total","Total","Number","10,309,725",""
"2002","Bulgaria","Total","Total","Number","7,868,815",""
"2002","Czechia","Total","Total","Number","10,201,182",""
"2002","Denmark","Total","Total","Number","5,368,354",""
"2002","Germany (until 1990 former territory of the FRG)","Total","Total","Number","82,440,309",""
"2002","Estonia","Total","Total","Number","1,383,510",""
"2002","Ireland","Total","Total","Number","3,899,702",""
"2002","Greece","Total","Total","Number","10,888,274",""
"2002","Spain","Total","Total","Number","41,035,278",""
"2002","France","Total","Total","Number","61,424,036",""
"2002","Croatia","Total","Total","Number","4,305,494",""
"2002","Italy","Total","Total","Number","56,987,507",""
"2002","Cyprus","Total","Total","Number","705,539",""
"2002","Latvia","Total","Total","Number","2,320,956",""
"2002","Lithuania","Total","Total","Number","3,454,637",""
"2002","Luxembourg","Total","Total","Number","444,050",""
"2002","Hungary","Total","Total","Number","10,174,853",""
"2002","Malta","Total","Total","Number","394,641",""
"2002","Netherlands","Total","Total","Number","16,105,285",""
"2002","Austria","Total","Total","Number","8,063,640",""
"2002","Poland","Total","Total","Number","38,242,197",""
"2002","Portugal","Total","Total","Number","10,394,669",""
"2002","Romania","Total","Total","Number","21,833,483",""
"2002","Slovenia","Total","Total","Number","1,994,026",""
