,Country,cent_1998,cent_1999,cent_2000,cent_2001,cent_2002,cent_2003,cent_2004,cent_2005,cent_2006,cent_2007,cent_2008,cent_2009,cent_2010,cent_2011,cent_2012,cent_2013,cent_2014,cent_2015,cent_2016,cent_2017
10,Germany,0.12926798587699148,0.09378249321029282,0.09273577930036565,0.09189539021921221,0.09533974544305117,0.09240232720189599,0.0968929674838516,0.09815491573342824,0.10232030357488102,0.10083155162912553,0.09800168443458866,0.12649702438617086,0.11347513782891125,0.11886227785356193,0.1338326686868238,0.13250569513448957,0.12902623477280817,0.12566774145604667,0.10468952418876819,0.09893792075925087
11,Greece,0.0209835654608673,0.026052368647026248,0.025337474164388207,0.016147088894608277,0.01187280580592993,0.014778709532795697,0.013663388032331431,0.012161550569750289,0.011962870958777096,0.01175567295602372,0.011343851084043434,0.011098011544185401,0.010424985467148243,0.006663132438043045,0.010610729638536442,0.011224427436828001,0.011357347351365558,0.011387887724625106,0.011863480929204653,0.011750827546216055
12,Hungary,0.005144310797047484,0.0066207004073321925,0.006534619013796628,0.0059227260209152996,0.005471569329839598,0.00529173062591665,0.005937245175433843,0.005733413074965912,0.00605739097040907,0.008610107352210898,0.008790677252326797,0.010667839441764963,0.008774213910702988,0.008952566701965857,0.012224041838302294,0.013987037967172523,0.016227137529750583,0.018087231410491258,0.01584912569019909,0.0170150338599861
13,Iceland,0.006088965311122397,0.004997388946674624,0.0073303681791095174,0.004588796537064444,0.003617236936042126,0.0034791541762042174,0.003884975238558169,0.003789474066018818,0.0037861129729646077,0.0034419194079662084,0.0028994079640042485,0.003335061837423274,0.0036019593294930965,0.0039206294453832564,0.004061123933043886,0.004012082187252135,0.0038102314459487704,0.003707215385145944,0.003128074705728722,0.0028793964234168938
14,Ireland,0.00928257564880818,0.00489637591525155,0.0048006941461079455,0.014716081851475203,0.0026538345635376314,0.013283655411153138,0.013865873982052005,0.013339264104604233,0.005149035210389526,0.005114457087516784,0.004853519314935595,0.009251269769330875,0.00891377637543172,0.009377449418068607,0.009530055271137466,0.008763107029661214,0.008765190666123726,0.008520260709347676,0.007957768678645397,0.007417147588691785
15,Italy,0.1908784310018009,0.2405563527861035,0.22104241770178368,0.16740370943761884,0.1649069768504841,0.15313322500087528,0.13642002015278315,0.13207397641386948,0.12816897557099236,0.1159861514808754,0.11214514151991155,0.11840132695788329,0.11274255638136085,0.10680948620673811,0.11061106151854913,0.10731700194166652,0.10566120501385665,0.1040923782393417,0.09793499895798777,0.09376773157518298
16,Latvia,0.0007946326776296008,0.0010776088825864044,0.00431133297210768,0.0012030597798687716,0.0011874435515136918,0.001241066618418543,0.001396838024884717,0.001535623991026269,0.0019193607511153277,0.007370447091360084,0.008937672676146867,0.007660463723207871,0.009602390183812886,0.01042283286360161,0.00734906425404649,0.009420181117136937,0.009881252481809884,0.010713868665463035,0.008459760778218578,0.010763989186508286
17,Liechtenstein,0.0005441911168556452,0.0006873285977280063,0.000667051584073908,0.0003960975630540896,0.0003825329073025131,0.0003445669419296166,0.0003734395083078953,0.00035794633408932434,0.0003725958454311843,0.0003331285539804014,0.00027767517026031465,0.00031036247564685443,0.0002473544858118832,0.00024448781620994316,0.0002847275560115005,0.0002743732288736957,0.00026176911646424777,0.00025318512728501614,0.0001901436803243344,0.00017714733432851702
18,Lithuania,0.0024751557073137585,0.0032369609256487153,0.0061777174312570085,0.0029814033297048043,0.0038674412968690845,0.004017795296586509,0.004946382299556053,0.00597253707118929,0.007071535773370924,0.015521080829663766,0.01892176996883768,0.01630998499190904,0.021428574716287927,0.023744168423141646,0.019036356785335672,0.021188283445725743,0.021746650775006426,0.021947808610320835,0.017201209839857363,0.022063396344519277
19,Luxembourg,0.0016068147230198376,0.0021359825542861576,0.0019151634046759528,0.0009936782780228396,0.0009952796747133587,0.0010141424193318763,0.000451408649130637,0.0005341636146782098,0.00044771335411786576,0.000458484525264499,0.0008205002239449065,0.0011049926283599432,0.0010295751811828099,0.0008744826927679699,0.0010946138193202628,0.0010675785529797573,0.00110415751919892,0.0010756779685577808,0.0007540795217724818,0.0007440634274697083
