,Country,cent_1998,cent_1999,cent_2000,cent_2001,cent_2002,cent_2003,cent_2004,cent_2005,cent_2006,cent_2007,cent_2008,cent_2009,cent_2010,cent_2011,cent_2012,cent_2013,cent_2014,cent_2015,cent_2016,cent_2017
10,Germany,0.06721749377957695,0.14734982360629137,0.11036409733869107,0.06287657924138892,0.06459596465432862,0.05255931843454416,0.10506595344183625,0.08565985082362156,0.11809606734815271,0.0943120086865972,0.06789852931579844,0.02168046166917279,0.02038983321490446,2.4600292296333456e-07,0.017460670534878764,0.018550824546903325,0.02060088325410686,0.021714741153230653,0.026824722160727586,0.02943734773120054
11,Greece,0.019497923456196265,1.3598389865510236e-05,1.0935391922710517e-09,0.018741363703338846,1.588462331661063e-07,3.605421155778979e-07,3.8114963931832555e-09,1.6507193750195815e-08,6.446997394712681e-09,8.301000068063318e-07,2.0107197855692122e-06,7.155256761217766e-06,1.4100922839234323e-06,2.4600292296333456e-07,3.214598876006249e-06,3.3104345778392378e-06,3.231321956623454e-06,3.1091204582065336e-06,0.005819932718543501,0.007147311253400342
12,Hungary,0.009850114370079146,0.02152474467916229,0.02164089091500631,0.007476319807146588,0.007762777969345979,0.004462358777948522,0.010473297698871141,0.006792397054890738,0.02115066798040341,0.01928408733048969,0.012671886909731256,0.0050755073872628,0.0055377346937165815,0.004616678977434597,0.004976783556797604,0.005616088805218741,0.0061442514491419535,0.006507592219008596,0.0071180765062691925,0.0073949569622537275
13,Iceland,0.08694884322996121,0.11315438065410346,0.25509388930225185,0.07381027349144469,0.07973125055365134,0.04334714694557684,0.10984018969332203,0.08435588558724637,0.16721376221134646,8.301000068063318e-07,0.07517294267275634,7.155256761217766e-06,0.029167233474547992,0.035815902559836445,0.019158718290384163,0.018813593092844246,0.019888335945909483,0.02254206974067296,0.02458796894569244,0.029019279560061395
14,Ireland,6.554615648997795e-08,1.3598389865510236e-05,1.0935391922710517e-09,2.73355940273727e-07,5.5781408840076975e-06,0.13211216597263278,0.451531482710568,0.3290960784251636,2.657313535113636e-07,0.06901131953540206,0.049200311894098236,0.056302516405606934,0.07099653872893924,0.1120225080058695,3.214598876006249e-06,3.3104345778392378e-06,3.231321956623454e-06,3.1091204582065336e-06,1.583990485048482e-06,0.05611567123979663
15,Italy,0.014879194616689746,0.042336219003679676,0.02874999313802276,2.73355940273727e-07,1.588462331661063e-07,0.010273802753392475,0.021299769830402257,0.02042370341896584,0.023752519575735553,0.017230311661724354,0.012603648187838443,0.004291316961038514,0.004730307228074227,0.0052171962309003955,0.0038077080398103477,0.004169270972839553,0.0050268172853687315,0.005410317577731475,0.006601139099969145,0.00750394615401186
16,Latvia,0.001966116755277317,0.0038371823938986942,0.006355099531132218,0.0027913100367506303,0.0028843715356957657,0.0013483707007896741,0.005497307208468,0.005096662087461598,0.009401364361769197,0.00635728250946788,2.0107197855692122e-06,7.155256761217766e-06,1.4100922839234323e-06,2.4600292296333456e-07,0.0009406367607101876,0.001008366392233567,0.0014078871065426094,0.0019124085105770101,0.0013171940531011782,0.0014932793260144868
17,Liechtenstein,6.554615648997795e-08,1.3598389865510236e-05,1.0935391922710517e-09,2.73355940273727e-07,1.588462331661063e-07,3.605421155778979e-07,3.8114963931832555e-09,1.6507193750195815e-08,6.446997394712681e-09,8.301000068063318e-07,2.0107197855692122e-06,0.9866791096968759,0.9819302189754386,0.9737802835646812,0.9898553012517667,0.9890831407316825,0.9863295187366762,0.9850673845235619,0.926796045860909,0.9023406458892939
18,Lithuania,6.554615648997795e-08,1.3598389865510236e-05,1.0935391922710517e-09,0.0008422926752017187,1.588462331661063e-07,3.605421155778979e-07,3.8114963931832555e-09,1.6507193750195815e-08,6.446997394712681e-09,8.301000068063318e-07,2.0107197855692122e-06,7.155256761217766e-06,1.4100922839234323e-06,2.4600292296333456e-07,3.214598876006249e-06,3.3104345778392378e-06,0.0006414379961646084,0.0008149774911224267,0.000960995512481736,0.0012224896097629263
19,Luxembourg,0.9019328078228085,1.3598389865510236e-05,1.0935391922710517e-09,0.9384665192282038,0.9182583906267796,0.9339770420167212,0.6450232751664585,0.7639985143942888,0.6141313743080491,0.8406256324511588,0.9072555603985856,7.155256761217766e-06,1.4100922839234323e-06,2.4600292296333456e-07,3.214598876006249e-06,3.3104345778392378e-06,3.231321956623454e-06,3.1091204582065336e-06,0.32856255254663114,0.377670720226949
